Name in CSR data set,Issue,Equivalent taxonomy in NCBI,Equivalent in Smith&Brown Tree,,,,,,,,
Amaranthus_blitum_subsp._oleraceus,Subspecies,Amaranthus lividus,Amaranthus_blitum,,,,,,,,
Amaranthus_powelli,Typo,2 subspecies,Amaranthus_powellii,,,,,,,,
Arenaria_lychnidea,Unresolved,None,None,,,,,,,,
Asperula_aristata,Subspecies,5 subspecies,Asperula_aristata_subsp._aristata,,,,,,,,
Asplenium_ruta-muraria,Unresolved,2 subspecies,None,,,,,,,,
Asplenium_septentrionale,Unresolved,1 subspecies,None,,,,,,,,
Asplenium_trichomanes,Unresolved,6 subspecies,None,,,,,,,,
Asplenium_viride,Unresolved,None,None,,,,,,,,
Carex_curvula,Subspecies,2 subspecies,Carex_curvula_subsp._curvula,Carex_curvula_subsp._rosae,,,,,,,
Carex_fuscula,Subspecies,2 subspecies,Carex_fuscula_subsp._fuscula,Carex_fuscula_subsp._catharinensis,,,,,,,
Carex_muehlenbergiiÂ ,Typo,3 varietas,Carex_muehlenbergii_var._muehlenbergii,Carex_muehlenbergii_var._xalapensis,Carex_muehlenbergii_var._enervis,,,,,,
Carex_ornithopoda,Subspecies,2 subspecies,Carex_ornithopoda_subsp._ornithopodioides,,,,,,,,
Carex_scandinavica,Unresolved,None,None,,,,,,,,
Carex_umbrosa,Subspecies,3 subspecies,Carex_umbrosa_subsp._sabynensis,,,,,,,,
Castilleja_integra,Varietas,1 varieta,Castilleja_integra_var._integra,,,,,,,,
Cerastium_vulgare,Unresolved,None,None,,,,,,,,
Oxybasis_glauca,Subspecies,1 subspecies,Chenopodium_glaucum_var._salinum,,,,,,,,
Corydalis_conorhiza,Unresolved,None,None,,,,,,,,
Cyperus_flavescens,Unresolved,1 varieta 1 subspecies,None,,,,,,,,
Eleocharis_mamillata,Varietas,1 varieta 1 subspecies,Eleocharis_mamillata_var._cyclocarpa,Eleocharis_mamillata_subsp._austriaca,,,,,,,
Equisetum_arvense,Unresolved,3 subspecies,None,,,,,,,,
Equisetum_fluviatile,Unresolved,None,None,,,,,,,,
Equisetum_sylvaticum,Unresolved,None,None,,,,,,,,
Equisetum_telmateia,Unresolved,2 subspecies,None,,,,,,,,
Eriogonum_alatum,Varietas,1 varieta,Eriogonum_alatum_var._alatum,,,,,,,,
Eriogonum_pharnaceoides,Varietas,1 varieta,Eriogonum_pharnaceoides_var._pharnaceoides,,,,,,,,
Reynoutria_japonica,Varietas,2 varietas,Reynoutria_japonica_var._japonica,Reynoutria_japonica_var._compacta,,,,,,,
Galeopsis_ladanum,Unresolved,None,None,,,,,,,,
Galeopsis_segetum,Unresolved,None,None,,,,,,,,
Globularia_bisnagarica,Unresolved,None,None,,,,,,,,
Herniaria_hirsuta,Varietas,1 varieta,Herniaria_hirsuta_var._cinerea,,,,,,,,
Huperzia_selago,Unresolved,Lycopodium selago,None,,,,,,,,
Hymenoxys_richardsonii,Unresolved,Picradenia richardsonii,None,,,,,,,,
Lamium_galeobdolon,Subspecies,4 subspecies,Lamium_galeobdolon_subsp._galeobdolon,Lamium_galeobdolon_subsp._flavidum,Lamium_galeobdolon_subsp._montanum,Lamium_galeobdolon_subsp._argentatum,,,,,
Spinulum_annotinum,Unresolved,Lycopodium annotinum,None,,,,,,,,
Lycopodium_clavatum,Unresolved,2 varietas 1 subspecies,None,,,,,,,,
Marsilea_quadrifolia,Unresolved,None,None,,,,,,,,
Cherleria_circassica,Synonym,Minuartia circassica,Minuartia_circassica,,,,,,,,
Minuartia_recurva,Subspecies,2 subspecies,Minuartia_recurva_subsp._bulgarica,Minuartia_recurva_subsp._asiatica,,,,,,,
Sabulina_verna,Subspecies,3 subspecies,Sabulina_verna_subsp._verna,Sabulina_verna_subsp._hercynica,Sabulina_verna_subsp._kabylica,,,,,,
Nama_dichotoma,Typo,Hydrolea dichotoma,Nama_dichotomum,,,,,,,,
